Date,Open,High,Low,Close,Adj Close,Volume
10/13/2005,183.75,185.625,178.794998,180.162994,104.200462,13605792
10/14/2005,181.25,181.5,176.875,178.007996,102.954048,5226192
10/17/2005,178.75,180.25,177.988007,179.270004,103.68399,4388816
10/18/2005,180.25,183.100006,178.886993,180.119995,105.94854,10941600
10/19/2005,182.494995,182.5,171.520004,175.199997,103.054558,10058832
10/20/2005,176.886993,179.375,173.882996,177.044998,104.139824,6352952
10/21/2005,178.625,179.600006,176.125,178.533005,105.01506,5923416
10/24/2005,179.024994,180.5,175.132996,175.938004,103.48867,3149632
10/25/2005,177.294998,181.375,176.061996,180,105.878006,5420312
10/26/2005,180,180.625,177.386993,177.783005,104.573914,4142808
10/27/2005,177.875,178.613007,173.75,175.162994,103.032837,6771944
10/28/2005,176.125,176.125,169.375,170.270004,100.154701,4501496
10/31/2005,170.625,176,170.044998,175.158005,103.029869,2851968
11/2/2005,175.162994,179.5,173.550003,178.625,105.069183,2852888
11/4/2005,null,null,null,178.625,null,null
11/7/2005,176,183.462006,176,183.095001,107.698502,4188480
11/8/2005,184.25,185.533005,183.800003,184.625,108.598473,5782184
11/9/2005,184.625,185.382996,181.283005,182.100006,107.113205,5000792
11/10/2005,182.125,184.613007,182.125,183.720001,108.066055,3095696
11/11/2005,183.125,186,183.125,185.332993,109.014908,5919888
11/14/2005,186.25,189.332993,186.25,188.787994,111.047165,8040360
11/16/2005,188.908005,189.625,187.783005,188.962006,111.149529,6742576
11/17/2005,187.5,189.75,186.557007,188.457993,110.853058,4878464
11/18/2005,189,191.375,189,190.869995,112.271881,8707720
11/21/2005,191.175003,192.337006,188.25,189.832993,111.661858,6597336
11/22/2005,189.25,190.600006,186,187.481995,110.278976,4751000
11/23/2005,187.5,190.25,187.375,189.582993,111.514816,6054776
11/24/2005,189.5,191.649994,189.5,190.533005,112.07354,4544088
11/25/2005,190.533005,192.5,188.794998,191.712006,112.767136,3344264
11/28/2005,192.350006,193.75,192,193.457993,113.794136,2535248
11/29/2005,193.100006,193.75,190.070007,193.169998,113.624771,3303424
11/30/2005,191.5,194.061996,189.375,190.136993,111.840668,4023376
12/1/2005,190,194.332993,189.845001,193.761993,113.972931,4161968
12/2/2005,194.332993,196.800003,192.632996,193.75,113.965935,4784360
12/5/2005,194,194.261993,190.783005,191.419998,112.59536,1913080
12/6/2005,191.875,196.25,190.787994,194.25,114.259972,3233064
12/7/2005,195.25,200,195.037994,199.445007,117.315735,5618952
12/8/2005,199.375,203.087006,199.033005,202.070007,118.859779,9585192
12/9/2005,202.25,211.824997,201.412994,210.337006,123.722565,6194224
12/12/2005,206.294998,213.125,205.25,206.274994,121.333214,6191488
12/13/2005,206.5,209.75,205.625,208.449997,122.612602,6027072
12/14/2005,207.5,212.5,205,210.488007,123.811371,4819208
12/15/2005,211.238007,212.311996,208.550003,210.350006,123.730209,4249016
12/16/2005,211.25,215.75,210.375,214.300003,126.053596,7907432
12/19/2005,215.75,219.125,214.625,216.820007,127.535904,4701168
12/20/2005,218.75,218.75,210.875,211.688004,124.51722,4628568
12/21/2005,213.125,214.324997,208.875,210.761993,123.972557,3282432
12/22/2005,211.25,212.462006,209.869995,210.587006,123.869583,2519208
12/23/2005,210.875,213.125,208.125,208.970001,122.918396,2455032
12/26/2005,209.25,209.25,207.033005,207.863007,122.267319,1625280
12/27/2005,207.845001,212.875,205.375,212.270004,124.859596,1565208
12/28/2005,211.875,213.75,209.582993,210.707993,123.940758,2582056
12/29/2005,211.25,214.988007,210.207993,213.757996,125.734772,3461784
12/30/2005,210,214.988007,210,212.856995,125.204865,2380248
1/2/2006,213.5,213.863007,210.169998,210.949997,124.083092,1653504
1/3/2006,210.658005,217.494995,210.25,216.649994,127.435905,3396936
1/4/2006,217.5,218.738007,215.274994,217.886993,128.163513,3545616
